cleaned	prediction
so nigerian alleged billionaire hushpuppi has been arrested by interpol for scamming and money laundering of over $100million which was supposed to be given to native americans during the corona virus pandemic. 	1
help us help you stay safe in hospital ⊓ when you come to hospital for planned and outpatient care as a visitor, you will need to wear a face covering. by doing so you are helping to reduce the risk of spreading coronavirus and keeping our hospitals safe. @stopfordians #hospital 	1
selling wristband to raise money for 1. the family of recently deceased lisa mccullagh 2. the family of george floyd 3.   san francisco 4. @nhscharities 5. @nycmayorsfund 6. mayorsfundla 7.⊦ 	1
scoop: trump to restart rallies within next 2 weeks a decision that turning point since the coronavirus shut down traditional campaigning this spring. more >> 	1
this is important: from tomorrow, it is compulsory to wear face coverings on public transport. if you absolutely must travel, please wear a face covering for the entire journey to help slow the spread of #covid19 . share this with your family and friends to let them know. 	1
the coronavirus pandemic isnt over just because the weather changed. 	0
this is one recent explanation: #covid19 covid19 inflames the lining of blood vessels thru the whole body, thus the diverse effects beyond the lungs, its not designed but it is systemic:	1
kudlow: there⊙s no 2nd #coronavirus spike, were not shutting down #economy 	2
i tested positive for sarscov2, in contact tracing two weeks ago. as per uttar pradesh guidelines, i was immediately isolated. heres my personal experience of days in isolation ward26, in govts pgi hospital, noida. #gautambuddhnagar #covid19india 	1
hope yall staying safe? wash your hands and dont forget to rock your mask too coronavirus is real. 	1
dr. fauci delivered a grim assessment of #coronavirus calling #covid19 his ⊜worst nightmare⊝⊔highly contagious respiratory infection causing serious illness & death. ⊜in a period of 4 months, it has devastated the whole world. and it isn⊙t over yet.⊝ 	0
people don⊙t just burn down a wendy⊙s like this out of normal anger and frustration. we have reached a boiling point in our country when it comes to racial and economic injustice. the coronavirus shutdown and the uncertainty for our future is the perfect formula for a revolution.	0
 after my friends bought the masks, they found the mask helped them a lot. dwi rahayu began making these transparent face masks to help deaf and mute people communicate during the #coronavirus pandemic in indonesia. @zazein #bersatulawancovid19 	2
a top market expert details how 6 factors that fueled the coronavirus crash will shape the stock markets recovery 	1
so orange county health directors mandated that everyone wear masks. then she was forced to resign due to pushback and death threats. now the new oc health director says face masks arent mandatory anymore.   ⊦	1
good for her. good for us. good for the truth! i hope the media covers this. its a great story. fired florida scientist builds coronavirus site showing far more cases than state reports 	2
this symbol means lunch time in china #coronavirus 	1
⊜weve seen what happens when the roads are quieter ⊓ and millions of people have responded by jumping on bikes for the first time in years or, indeed, for the first time ever.⊝	1
coronavirus : beijing shuts food market and goes into in wartime emergency mode after spike in covid19 cases 	0
just had delivery of my doctor who face mask so now i can exterminate coronavirus ! 	2
scotland reports no new coronavirus deaths in last 24 hours. 	2
other countries responded quickly and aggressively to combat the spread of coronavirus 	2
for the first time since coronavirus outbreak, number of recovered patients exceeded the number of active cases. 	2
80% of us voters believe things are out of control in the country, with majorities concerned about the coronavirus , the economy and president trump⊙s ability to unite the nation, according to latest nbc newswsj poll.  	0
djokovic asks the crowd to stand up to remember the victims of the coronavirus . 	1
7,998,006 #coronavirus cases as of 20200615 03:20:02 	1
back of the envelope math: preventing 62 million us infections likely saved a quarter of a million lives⊔and maybe far more, by preventing health system collapse. keep wearing your mask. 	2
cuomo threatens to shut down manhattan, hamptons again if coronavirus socialdistancing rules brokenthis genius must have been in a coma the past two weeks. did he miss a million people screaming and spitting two feet from each other for days?! moron 	0
at a time when coronavirus cases are on the rise, @kimspbmh covid hospital the first and only of its kind public private partnership model based standalone facility has successfully treated over 1000 patients in #odisha ... read more:   ⊦ 	2
updated: rising covid19 hospitalizations in travis county trigger stage 4 recommendations 	0
devastating new homelessness numbers in los angeles. the homeless population in the county increased 13% to 66,433 ⊔ equivalent to a city the size of redondo beach. these figures dont take into account the effects of the coronavirus pandemic 	0
5what didnt happen is always hard to appreciate. solomon hsiang captured the power of stayathome orders vividly: no human effort has ever saved so many lives in such a short period of time. another story about the study, and a 2nd one on europe: 	2
northern ireland records zero deaths related to coronavirus for the fourth day in a row.   	2
# pmikfightingfornation prime minister imran khan had last month launched the relief fund to fight coronavirus and had urged everyone to donate generously to the initiative. 	2
my husband recovered from coronavirus taking #hydroxychloroquine and #azithromycine	2
thailand reports zero coronavirus cases and zero deaths for first time in three weeks	2
 coronavirus probably coming back. the first wave never ended, we acclimated to 1,000 deaths a day and dont talk about it, and the entire social contract has been called off between the government and the governed. six months left in 2020.	0
so much respect to @marcusrashford for all the work he has done for charities and children during the #coronavirus pandemic. a brilliant young man. 	2
texas saw a surge of covid19 cases in our private detention centers this week. sen. cornyn is a top recipient of campaign money from the private detention industry. so what is he doing about it? nothing. 	0
each of us can stop the spread the spread of coronavirus . it⊙s up to us, new york. 	2
# pmikleadingtheworld the scheme ehsas emergency cash programme is aimed at providing relief to poor people hit by the lockdown, put in place due to coronavirus . @lmaha01 	1
1we tracked a nursing home in burlington, vt., which had one of the first outbreaks of the coronavirus on the east coast. 11 people died of covid; some survived it, even a 90yearold. our story: 	1
deeprooted inequality and graft have thwarted the steps peru took to prepare for its response to the coronavirus pandemic.   	0
free #coronavirus testing today 10am⊔2pm f street nw btwn 4th & 5th 2241 martin luther king jr ave se... this site has had the shortest line 4pm⊔8pm engine 4 2531 sherman ave nw engine 12 2225 5th street ne need a test? get a test   #covid19	1
# coronavirus fatalities in iran exceeded 50,000 this catastrophe and such great loss of lives could have been avoided. the death toll in #iran and even the official figures could not be compared to the death toll in other countries in the middle east. 	0
we⊙re making lowtraffic neighbourhoods a key part of the #streetspaceldn plan. planters, like these in hounslow, are a greener way of stopping cars blocking our roads while keeping access for residents. its simple: quieter, safer roads enable more londoners to walk and cycle.	2
now the research from who is showing that the risk of asymptomatic people transmitting coronavirus is extremely rare. if that is true, that means we do not need social distancing, masking and it means that we can reopen america and get back to life as normal. #reopenamerica	2
sources: expected protocol if an nba player leaves the orlando bubble: quarantined for no less than 10 days and must have two negative coronavirus tests.	1
coronavirus may not discriminate. but our system does. 	0
seattle #coronavirus survivor given $1.1 million hospital bill with over 180 pages of charges. story:   	1
like old times: more than 20,000 fans packed a new zealand stadium for a rugby match this weekend. no masks, no social distancing. fans cheering and drinking beer. the nation has had remarkable success against the coronavirus .  	2
are they literally f****** kidding!?! shut down nations, demolish economies, lock people inside their homes, strip their sanity and freedom only now to state asymptomatic spread is extremely rare! but dont worry no one will protest over this! #scamdemic 	0
breaking news: dinkleberg tests negative for coronavirus 	2
coronavirus news: a young woman whose lungs were ravaged by covid19 is alive thanks to a double lung transplant, say her surgeons in chicago. this is the first known lung transplant in the us for covid19, offering new hope for patients. heres the story:  	2
switzerland is the safest place on earth #coronavirus #covid19 	2
good news! @who says asymptomatic spread of covid is rare. i agree and it makes sense each cough may emit ~3000 and sneeze ~40,000 droplets from a symptomatic patie cnbc.com20200608asy mptomaticcoronaviruspatientsarentspreadingnewinfectionswhosays.html   ⊦	2
last night at kid rock⊙s big honky tonk and rock n⊙ roll steakhouse in nashville, tn. nashville is in phase 2, allowing restaurants and retail stores to open at 75 percent capacity, while bars remain closed. how is this even legal? #covid #coronavirus 	0
i wish you all a nice week. let us both be careful of coronavirus covid19. 	2
nearly 1,000 americans are still dying every day from coronavirus . this pandemic is not over. well check in wmedical experts tonight during our special @cnnsitroom 710pm et. here are the latest numbers of u.s. deaths: june 9 983 june 10 ⊓ 930 june 11 ⊓ 896 june 12 851	0
⊜dr. anthony s. fauci, delivered a grim assessment of the devastation wrought around the world by the virus, describing covid19 on tuesday as his ⊘worst nightmare⊙. he said ⊘we⊙re at the beginning of it⊙.⊝ 	0
# pmikleadingtheworld i really appreciate and admire his leadership during the fight against coronavirus , he is an amazing leader. great leader @mashterani 	2
coronavirus : brazil judge orders bolsonaro to publish full data  	1
in #usa the view of #china has also followed a trend among both sides 	1
floridas gov. ron desantis shrugs off bad coronavirus news as cases rocket 35% in a single day.  	0
tanzanias president john magufuli has declared the country coronavirus free thanks to prayers by citizens. the corona disease has been eliminated thanks to god, mr magufuli told worshippers in a church in the capital, dodoma. 	2
survey reveals french public has lost confidence in scientists during the coronavirus pandemic  	0
the fed said if economic activity remained weak due to virusrelated disruptions more businesses could fail, leading more temporary layoffs to become permanent  	0
just got my coronavirus test results 	1
it is with great joy i want say that many people are getting cured from corona virus . but hey! dont you want more people to live with relief ?! help now, they need you! help us spread the cure! donation for plasma! #donateplasmaforhumanity 	2
this should make every person in the world mad as hell reading this esp. those of us whove been locked down in our homes & forced out of businesses for mnths. or arrested for defying covid lockdown orders. this letter is the elite openly mocking us.  	0
iran is struggling to maintain its influence over iraqi militias since the killing of a top iranian general and top militia leader in a u.s. drone strike. irans economy is being hammered by the combination of u.s. sanctions and the coronavirus pandemic.  	0
new zealand has successfully wiped out #coronavirus after the final person known to have been infected recovered  	2
researchers ask if survivor #plasma could prevent coronavirus @jamacurrent 	1
coronavirus doesn⊙t give a shit what you⊙re protesting 	0
breaking: there are now over 113,000 american deaths from coronavirus and over 2 million cases. trump is the biggest failure and fraud ever. this is on him.	0
donors tonight at $3million fundraiser with pres trump at his nj golf club underwent coronavirus tests to get in. they had to test negative for covid19, fill out a wellness questionnaire and pass a temperature screening. costs for the tests paid by the trump campaign and rnc.	1
this is the first year i⊙m not going to fiji because of coronavirus . normally, all the other years i don⊙t go because i⊙m skint. 	1
some good news! #newyorktough 	2
# ourarmyourpride according to ispr, the pakistan army is ready to deal with the situation caused by the corona virus . according to the decisions of the national security committee, the medical facilities of the pakistan army are ready to compete...!!!! @teamispofficial 	2
indonesia #covid19 daily people tests stats: until today updates indonesia has tested total 287,478 people with result of 34,317 total positive cases, with 11.93% positive rate. below is charts of people tested per day. #covid19indonesia 	1
a nineyearold kenyan boy who made a wooden handwashing machine to help curb the spread of coronavirus says he is very happy after receiving a presidential award 	2
joe biden says trumps handling of the coronavirus pandemic was almost criminal.  	0
we have just passed another grim milestone: 116,527 americans have died from the coronavirus , more than were lost in ww i. sadly, we seem to have normalized death. there was much ballyhoo when we passed 911, the korean and then vietnam war. we are tragically becoming numb. 	0
itzan escamilla testing for coronavirus before starting filming season 4 of #elitenetflix 	1
first the wildfire, then ww3 almost started, third the corona virus . now this racism and killing with black people. whats next 2020?	0
breaking good news alert: new zealand has announced it no longer has any patients in hospital being treated for coronavirus . it comes on the fifth straight day where no new cases have been reported. this is what winning looks like. 	2
picture of a covid19 infected lung belonging to a previously healthy american woman in her 20s. the woman had to transplant both of her lungs after catching the virus. the successful surgery took approximately 10 hours: nytimes 	1
new zealand lifted all domestic coronavirus restrictions on monday after its final covid19 patient was given the all clear, with prime minister jacinda ardern revealing she danced around her living room when told about the milestone.   	2
bye bye buffets, hello plexiglass: how coronavirus is changing hotels 	1
a housing apocalypse is coming. a tsunami of renter evictions will happen unless we get seriously organized. working peoples homeownership was destroyed after great recession, especially sharply for black & latinx. that homeownership never recovered. ⊦	0
president trump is set to begin holding large political rallies this month, despite the ongoing pandemic. his campaign did not comment on the specifics of safety protocols.  	1
i actually think 2020 offers a unique opportunity for change. the australian bushfires should change the conversation on the environment, coronavirus should change the conversation on economic inequality and george floyd should change the conversation on racial inequality.	2
as theaters and clubs remain closed, 90% of independent venue owners, promoters and bookers say that they will have to close permanently within the next few months without assistance.  	0
coronavirus right now looking at naira marley and his fans in abuja.. 	1
amazing. new zealand has eliminated the coronavirus domestically, so can lift all containment measures except for border controls. that⊙s how it⊙s done. that really is how it⊙s done. 	2
with nearly 1,100 dead and hospitalizations spiking rapidly in arizona, lawmakers and medical professionals are warning there might not be enough emergency room beds to handle what could be a big influx of new cases.  	0
one of my longtime favourites #copenhagen s pedestrianfriendly transformation didnt happen overnight. but are we now seeing this kind of urban transformation in weeks or months instead of years or decades because of #coronavirus ? ht @citiesforpeople . 	2
thats just crazy. bickering between government and opposition meant they cant even agree to debate a bill to help those with disabilities and crack down on coronavirus assistance cheats. so debate delayed until next week. good grief.	0
trump may be done with the coronavirus but the coronavirus is not done with america by a long shot	0
# pmikleadingtheworld pakistan⊙s allweather ally china, despite being hit by the coronavirus itself, also has lent a supporting hand and doled out muchneeded medical equipment and other goods both at the government and provincial levels. @binish88 	2
sorry but you cant claim to be the most transparent president in history and then try to keep $511 billion in taxpayer funded loans confidential. 	0
china: parts of beijing locked down due to fresh coronavirus cluster.	1
 safari parks and drivein cinemas can open from monday, as well as zoos provided visitor numbers are managed, the prime minister has announced all the latest 	2
oops, they did it again: the simpsons mightve predicted coronavirus & riots in the us, media claims #simpsonspredictions  	1
remember: florida ordered coroners to stop releasing #republicansvirus death data: report   ⊦	1
a team of mathematicians at mit has added some order to the chaos that is the rapidly growing number of online scientific talks and meetings available during the pandemic by creating a website that compiles links to free talks around the world.  	2
updated: the #prayer in light of the #coronavirus pandemic: wearing gloves 	1
new study indicates mutation d614g: may stabilize & number of spike proteins may chance #sarscov2 infects a cell but the study is: lab based not yet peer reviewed more research needed to assess validity & any conclusions about infectivity. nytimes.com20200612sci encecoronavirusmutationgeneticsspike.html   ⊦	1
coronavirus out of control in az and doug ducey is still in charge ... 	0
the risk of dying of coronavirus between the age of 514 is less than being struck by lightning. scientists say with the risk so low children shouldnt be deprived of their education, according to @drhilaryjones . #askdrh tune in from 6am   	2
coronavirus will end soon. in jesus name. rt, if you believe.	2
# covid19 drivein test centres run by deloitte; contract tracing run by serco, helped by capita. i think george bernard shaw had something to say on the matter in 1911. #coronavirus 	1
doctors in chicago have performed a double lung transplant on a young woman whose lungs were damaged by covid19.  	1
coronavirus also introduces us to a completely new world of life, it is better to be safe than sorry.................. 	1
president trump is planning to hold his first rally of the coronavirus era on june 19 in tulsa, oklahoma. he says hes also planning events in florida, texas and arizona.  	1
wisconsin was a wake up call. georgia was a siren. if we don⊙t urgently expand vote by mail and make it easy to vote safely in person, millions will be disenfranchised in november & legitimacy of 2020 election will be questioned 	0
i need londoners to be part of shaping our city⊙s recovery from #covid19 . what do you want us to change about life here, as part of the recovery? let us know:	1
as the rioters and looters took to the streets for two weeks the media said they were expressing their feelings. now that we are talking about trump rallies all of the sudden the media is talking about the surge of coronavirus . hypocrisy at its finest.	0
as at 6th of june, 2020, the @ncdcgov reported 389 new cases of #covid19 in nigeria bringing the total number of reported cases to 12233. also, according to @ncdcgov , a total of 3826 recoveries and 342 deaths have been recorded, so far, in nigeria. #knowcovid19 #coronavirus 	1
nursing homes have proven to be some of the most vulnerable places for spreading the novel coronavirus , yet some states across the country are providing perverse incentives for bad nursing homes to take covid19 patients. 	0
the countys determinationn to fight corona virus saw them procure icu beds to accommodate the patients incase of the new infections rise #isiologovernordelivers 	2
calling coronavirus a distinctly ⊜new york issue⊝ would be a mistake. as the epicenter of the pandemic embarks on its reopening, keep in mind that what⊙s good for getting new york healthy and bustling again is good for the rest of the country as well  	1
the waiver trump is requiring attendees of his oklahoma rally to sign saying they wont hold him responsible, if they contract the #coronavirus . *that waiver does not cover all the people who come in contact with the attendees who signed it, and contract the virus from them.	1
venda people are from limpopo, you mess with them, you also messing with pedi and tsonga. we are capable of ending corona virus . nasi!! #sifisohlophemustfall 	2
from to #ethiopia aircraft of 33 tons of medical aids to help stop the spread of #coronavirus 	2
the beautiful jacinda ardern declares victory over the corona virus . #newzealand 	2
# coronavirusupdates 202069 23:59 utc total #covid19 deaths chart 1 usa: 114.148 1.093 uk: 40.883 283 brazil: 38.497 1.185 italy: 34.043 79 france: 29.296 87 spain: 27.136 0 mexico: 14.053 354 	1
get well soon lala #shahidafridi #coronavirus 	2
what do countries with the best coronavirus reponses have in common? women leaders 	1
 latest global status of covid19 coronavirus 	1
here⊙s maybe the most revealing fact about how health insurance corporations really see the current climate in america: they⊙re reaping massive profits this year. in the middle of a pandemic that⊙s devastating communities of color. 89 	0
reported us coronavirus deaths: mar. 10: 31 deaths apr. 10: 18,758 deaths may 10: 79,525 deaths june 10: 112,895 deaths	1
attendees cannot sue the trump campaign or the venue if they contract the coronavirus at his june 19 rally in tulsa, oklahoma  	1
117,000 americans have now died from the coronavirus . there is no cure. there is no vaccine. there still aren⊙t enough tests. or tracing. cases are spiking in some states. and the president of the united states has absolutely no plan to do anything about it.	0
a lot of cities are canceling fourth of july celebrations because of the coronavirus . you can gather to riot but not celebrate our country? liberal hypocrisy at its finest.	0
hydroxychloroquine rated ⊘most effective⊙ coronavirus treatment, poll of doctors finds: 	2
at midnight on wednesday the electricity grid won⊙t have burnt any coal for 60 days. now we⊙ve glimpsed what⊙s possible we must #buildbackbetter 	2
a second wave of the coronavirus is on the way. when it arrives, we will lack the will to deal with it. despite all the sacrifices of the past months, the virus is likely to win. my latest @theatlantic . [thread.] 	0
united states coronavirus cases: 2,159,735 deaths: 117,830	1
who: asymptomatic spread of coronavirus is very rare. me: 	1
why hasn⊙t @speakerpelosi pushed to freeze rent during the coronavirus pandemic? san francisco is one of the most expensive zip codes to live in. perhaps, she⊙s got 365,000 reasons not to oppose landlords. #replacepelosi 	0
venezuela: we have received medical equipment and coronavirus diagnostic tests from iran 	2
uk will not participate in eu⊙s #coronavirus fast track vaccine scheme. #torybrexit #covid19 catastrophe 	1
new zealand, which has had no active coronavirus cases in three weeks and only 22 deaths in total, welcomed back sports with fans. : @southernscoop 	2
coronavirus patients without symptoms aren⊙t driving the spread of the virus, the who says.  	1
its worth remembering how often @realdonaldtrump has misled american about #covid19 .  	0
so, it begins... again! second wave of coronavirus is happening, in china. 	0
before, during, after... #coronavirus 	1
with protests are mostly over, the press is desperately trying to return to pushing the lockdown. too late. we know they are liars, and that they will break any lockdown rule whenever they want. 	0
face masks could reduce coronavirus r number and prevent 2nd wave, scientists say. 	2
# coronavirus is in retreat across the country but we must still be vigilant in our national effort & protect our nhs 	2
psycho terrorist attack? she dealt with it. volcanic eruption? she dealt with it. corona virus ? you guessed it, she dealt with it. new zealand is officially corona free and that too with a strong af economy! btw, she did all this while raising a newborn too. #jacindaardern 	2
the coronavirus pandemic is ebbing in some of the countries that were hit hard early on. but the number of new cases worldwide is growing, with more than 100,000 reported each day.   	0
according to johns hopkins universitys tally of cases in the united states, there are at least 2,033,003 cases of coronavirus in the u.s.; at least 114,126 people have died in the u.s. from coronavirus .	1
by now, we ought to be seeing some evidence of increasing #covid19 cases from the mass protests. that we are not and not even an increase in testing demand raises very serious doubts about the #coronavirus lockdowns and other npis many of which are still ongoing. thread 	0
a message from puritan⊙s executive team... #oneswabatatime #keepcalmandswabon #covid19 #coronavirus #swabs 	1
the dos and donts of coronavirus outbreak 	1
there are more than 135 vaccines in development to prevent the spread of coronavirus . keep track of the progress of all the vaccines that have reached human trials here:  	1
new zealand prime minister jacinda ardern says she did a little dance after she announced there were no active cases of coronavirus in the country   	2
these eighthgraders spent the entire year raising $2,800 for a rafting trip. rather than mope after the trips cancellation, they chose to make a major impact by using the money to help the navajo nation, which is struggling amid the coronavirus pandemic.  	2
trumps rally meets every criteria for the riskiest type of event one expert: with a little bad luck, that scenario could end in the seeding of community outbreaks of covid19 across the u.s.⊝ for trump, its always politics over the nations welfare 	0
this is starting to make the rounds. don⊙t be fooled. covid takes 12 weeks. the latest spike is from those memorial day dopes. keep fighting! stay safe & if you⊙re immunocompromised or feeling ill stay home! there are lots of ways to show your support!	1
⊜i shouldn⊙t be forced to not take pay or use my vacation, or take the chance of losing my life.⊝ workers in our meatpacking plants are essential. and no one should have to choose between losing their job or going to work sick. #iasen 	0
productive meeting of the @whitehouse coronavirus task force today. we remain focused on opening up america again and ensuring that all states have the resources they need.	2
world health organisation says transmission of coronavirus by patients who show no symptoms is very rare 	1
# pmikfightingfornation to fight coronavirus , pm khan announces a youth force, charity fund	2
brain research shows the arts promote mental health during selfisolation due to coronavirus , many are turning to the arts via @conversationuk 	2
60 million infections prevented in the us 285 million in china 530 million in total across the six countries studied public health measures have been disruptive, but theyve saved millions of lives.  	2
sinovac biotech says its coronavirus shot is safe and capable of eliciting an immune response from human trials  	2
boris johnsons 11 fatal errors in handling coronavirus crisis which cost lives 	0
new zealands prime minister jacinda ardern says shes confident the country has halted the spread of the coronavirus after the last known infected person in the country recovered. it has been 17 days since the last new case was reported there.  	2
pakistan recorded 5,834 coronavirus cases in a single day on june 10. in march, italy was recording over 6,000 cases in a day. 	1
i didnt realize how mouthy yellowbreasted chats are! a rarely seen bird for me now common this year thanks to changing habits in our new coronavirus world 	2
andre guest was a black 16yearold who was living in strict lockdown. coronavirus killed him in 12 days. poor baby. 	0
oh look. coronavirus didnt go anywhere. were all still dying. nice of trump and the gang to just ignore it. @realdonaldtrump , #killingamerica , one day at a time! good times america! good times!!!   ⊦	0
biden says trump⊙s handling of the coronavirus pandemic was almost criminal  	0
breaking: dr. fauci just said no one should be holding large events, when talking about trump holding rallies, because it⊙s going to spread coronavirus . it⊙s nice to hear basic logic, for once.	2
@rajinikanth appreciates his fans for their work in extending relief to needy during #coronavirus outbreak. urges them to take care of their families, wear #mask and follow #socialdistancing . 	2
the department of health in the western cape says it is preparing to take coronavirus patients to the cape town international convention centre from tomorrow. the icc has been converted into a hospital for coronavirus patients who are not seriously ill. #sabcnews	1
the coronavirus death toll has topped 400,000 worldwide, with more than a quarter of those deaths in the u.s. more than 1.9 million people in the u.s. have been infected with covid19. 	1
when we pass 200,000 coronavirus deaths, will anyone even notice?	0
urgent alert!!! all maga morons, before you attend your coronavirus trump rally, do not forget to sign your waiver saying if you get coronavirus , it is not trumps fault. by the way, when you attend, the person standing next to you who coughed probably has coronavirus . enjoy!!! 	0
neymar is back in paris after being nearly three months in brazil due to the coronavirus . 	1
hotel operators are installing stickers on floors to promote social distancing. hand sanitizer dispensers will be placed throughout buildings. at least one hotel moved its lobby to a less crowded location, while others have spaced pool furniture far apart. 	1
as of this week, more than 30,000 people have died from the coronavirus in brazil, including 1,262 on tuesday ⊔ which was the nation⊙s highest oneday total. the country is nearing 800,000 cases, second only to the u.s.   	0
the 3rd anniversary event in akihabara has also been replaced with a new virtual event there instead due to the coronavirus . more details will be released soon! 	1
i⊙m coronavirus free 14 days since first symptoms 	2
dutch protesters demand end to fur farming after coronavirus outbreak  	1
it may not look much but theres been a 38% decrease in the 7 day average of uk reported coronavirus covid19 infections over the last 2 weeks. 	2
# pmikfightingfornation prime minister imran khan on friday sounded optimistic that war against coronavirus will be won with the united resolve of the nation. @teampvfofficial	2
george floyd death: protests undoubtedly risk increasing coronavirus cases, matt hancock says more demos thousands more dead end of racism fucking idiots wake up plebs of britain	0
coronavirus is murdering american citizens donald trumps solution please do not sue me if you catch the coronavirus at my rally are you fucking* kidding me 110 still counting dead from the coronavirus trump dont give a fuk about no one except himself and his reelection 	0
getting tested today for coronavirus because of mild symptoms. its super efficient and easy so far! 	2
there are people who feel that if not controlled, the population of nigeria may spill over, therefore,  there is a need to keep quiet and watch nigerians die. if hiv did not kill them, coronavirus ,  or terrorist attacks will. @mazinnamdikanu | 10.06.2020	0
ms. eileen stein said it perfectly: i dont have enough adjectives. he is one of the finest people in the world. 	2
there⊙s a new program helping women find work during the coronavirus pandemic.@canva ,#coronavirus ,#datacom  	1
president trump will hold a campaign rally next week at a venue in tulsa, okla., that can hold 19,000 people. a disclaimer says attendees cannot sue the trump campaign if theyre exposed to covid19 at the rally.  	1
greece is only allowing countries that have managed the coronavirus well to visit they have almost no cases. albania yes. the us not allowed.	1
texas is in rough shape, man. 	0
unreal. as trump resumes indoor rallies, his campaign has implemented a new policy that attendees cannot sue if they contract coronavirus at an event. trump supporters, please think about what this means: the man does not care if you live or die. 	0
6 hour lines to vote hundreds of polling places closed states unprepared for mail voting huge numbers of ballots rejected voter suppression we⊙re seeing in georgia today could happen nationwide in nov if we don⊙t need fix broken voting system asap 	0
no deaths of people with #coronavirus have been reported in london in the last 24 hours, nhs england says  	2
full recovery expected for #covid 19 lung transplant patient 	2
ohio! watch this video. the trump recession didn⊙t start because of #coronavirus . it was in full swing in 2019. trump promised to bring jobs back to your state. he failed. bigly. #demcastoh 	0
breaking: no new coronavirus deaths have been reported in scotland for the second day in a row. 	2
lrh peshawar starts virtual meetings of coronavirus patients with their families. an old man on a live video with his son. other hospitals must also initiate such steps. 	1
corona virus @new order of deputy commissioner sanghar 	1
once again trump admin is not prepared. why wasn⊙t this anticipated? remdesivir, the only drug known to work for covid19 treatment will run out at the end of this month. guess it⊙s not one of jared kushner⊙s ⊜success stories⊝ 	0
new zealand lifts all social and economic restrictions except border controls after declaring it is free of the coronavirus , one of the first countries in the world to return to prepandemic normality   13 	2
seattle coronavirus survivor gets a $1.1 million, 181page hospital bill 	1
we aren⊙t even out of the first wave of covid. come on people!! 	0
