cleaned	prediction
1756 new hospitalizations due to coronavirus have been added to the cumulative count in the last 7 days, a 1174 increase since last week. this means the state of georgia is averaging over 250 new hospitalizations per day this week  	1
four out of the five most populous counties in texas,  dallas, harris, bexar and travis  have hit their highest sevenday average of new cases of #coronavirus in the last week. dallas and harris are currently at their highs. 	0
1we tracked a nursing home in burlington, vt., which had one of the first outbreaks of the coronavirus on the east coast. 11 people died of covid; some survived it, even a 90yearold. our story: 	1
20 somethings are getting sick from covid 19 and staying sick. their stories are a warning from millennials to millennials dont play the odds with coronavirus because the disease could permanently damage your body  	0
20 times trump said the coronavirus would go away   	1
3 covid deaths recorded today in all of italy. its the lowest number of recorded deaths since the outbreak in february. italys full lockdown of 2 months, ongoing high adherence to mask wearing has proven effective   	2
30 thousand deaths in new york over 6 thousand  covid  patients shoved into nursing homes killing over 6000 elderly. id say new york didnt do the greatest job 	0
5what didnt happen is always hard to appreciate. solomon hsiang captured the power of stayathome orders vividly: no human effort has ever saved so many lives in such a short period of time. another story about the study, and a 2nd one on europe: 	2
6 hour lines to vote hundreds of polling places closed states unprepared for mail voting huge numbers of ballots rejected voter suppression we‚äôre seeing in georgia today could happen nationwide in nov if we don‚äôt need fix broken voting system asap 	0
60 million infections prevented in the u.s. 285 million in china. 530 million in total across the six countries studied. public health measures have saved millions of lives	2
60 million infections prevented in the us 285 million in china 530 million in total across the six countries studied public health measures have been disruptive, but theyve saved millions of lives. ¬†	2
7,998,006 #coronavirus cases as of 20200615 03:20:02 	1
80% of us voters believe things are out of control in the country, with majorities concerned about the coronavirus , the economy and president trump‚äôs ability to unite the nation, according to latest nbc newswsj poll.	0
85 infants in one texas county test positive for coronavirus   	1
90% of the uk coronavirus cases traced back to holiday hotspots spain, france, belgium and italy. at the height of the pandemic, there were no quarantine rules for arrivals and still no tests. the govt negligence caused thousands of avoidable deaths. 	0
a coronavirus  vaccine the university of oxford is developing with astrazeneca plc showed promising results in early human testing, a sign of progress in the highstakes pursuit of a shot to defeat the pathogen  	2
a dealer at mohegan sun just tested positive for covid on wednesday july 15th. good luck connecticut	1
a florida father is hospitalized on a ventilator with covid 19 after his 21 year old son went out with friends and apparently infected the entire family his wife says  	0
a florida mother says two of her adult children died of covid 19 within 11 days of each other  	0
a former cdc director found the white house document that we published last week to be full of good advice advice that would be helpful for all americans to see 	2
a housing apocalypse is coming. a tsunami of renter evictions will happen unless we get seriously organized. working peoples homeownership was destroyed after great recession, especially sharply for black & latinx. that homeownership never recovered. ‚ä¶	0
a kentucky woman tested positive for coronavirus. now she and her husband are under house arrest and must wear ankle monitors after she refused to sign papers saying that she would self quarantine   	1
a large new study from south korea finds that children younger than 10 transmit to others much less often than adults do, but the risk is not zero and those between the ages of 10 and 19 can spread the virus at least as well as adults do 	1
a lot of cities are canceling fourth of july celebrations because of the coronavirus . you can gather to riot but not celebrate our country? liberal hypocrisy at its finest.	0
a message from puritan executive team... #oneswabatatime #keepcalmandswabon #covid19 #coronavirus #swabs 	1
a must read for all factory managers how have you had to adapt to the recent challenges of social distancing? heres some great advice to look after employee wellbeing whilst still maintaining capacity and productivity       	2
a nine year old kenyan boy who made a wooden handwashing machine to help curb the spread of  coronavirus  says he is very happy after receiving a presidential award 	2
a nineyearold kenyan boy who made a wooden handwashing machine to help curb the spread of coronavirus says he is very happy after receiving a presidential award 	2
a recent study found that the use of masks and face coverings has been the most effective way to reduce person to person spread of  coronavirus. here are the states that require the use of masks or face coverings in public settings  	2
a second wave of the coronavirus is on the way. when it arrives, we will lack the will to deal with it. despite all the sacrifices of the past months, the virus is likely to win. my latest @theatlantic  	0
a team of mathematicians at mit has added some order to the chaos that is the rapidly growing number of online scientific talks and meetings available during the pandemic by creating a website that compiles links to free talks around the world	2
a team of mathematicians at mit has added some order to the chaos that is the rapidly growing number of online scientific talks and meetings available during the pandemic by creating a website that compiles links to free talks around the world. ¬†	2
a top market expert details how 6 factors that fueled the coronavirus crash will shape the stock markets recovery 	1
according to ispr the pakistan army is ready to deal with the situation caused by the coronavirus. according to the decisions of the national security committee the medical facilities of the pakistan army are ready to compete	2
according to johns hopkins universitys tally of cases in the united states, there are at least 2,033,003 cases of coronavirus in the u.s.; at least 114,126 people have died in the u.s. from coronavirus .	1
accurate as fuck rickandmorty coronavirus   	2
after my friends bought the masks they found the mask helped them a lot. dwi rahayu began making these transparent face masks to help deaf and mute people communicate during the coronavirus pandemic in indonesia 	2
after testing positive but without showing any symptoms the health department requested she sign documents that will limit her traveling anywhere unless she calls the health department. first she chose to not sign  conspiracy theories	1
after trumps continued inaction on issues such as the russian bounty, black lives matter, and covid 19, david is voting blue this november for the first time ever. this single thing should cause all americans to lose any slice of hope they may still have	0
all signs are pointing to school reopenings becoming a public health disaster again. it didnt have to be this way 	0
amazing to see so many nfl players tweet out publically to the nfl leadership their health worries and covid safety concerns as season nears. a few years ago this would have been impossible. special note to nfl players, dont forget to thank colin kaepernick 	2
amazing! new zealand has eliminated the coronavirus domestically so can lift all containment measures except for border controls thats how its done, that really is how its done    	2
amazing. new zealand has eliminated the coronavirus domestically, so can lift all containment measures except for border controls. that‚äôs how it‚äôs done. that really is how it‚äôs done. 	2
americas coronavirus failure and its economic failure together in one chart  	0
andre guest was a black 16yearold who was living in strict lockdown. coronavirus killed him in 12 days. poor baby. 	0
another 12000 florida case count day. now topping 5000 total deaths and 13 of them in miamidade county. Yet, desantis still called it a blip few days ago. we need leadership and action over euphemisms 	0
another day, another achievement for our covid19 warriors at mmch covid care centre felicitation of discharged patients	2
another hell in the making post covid   	0
anti mask neighbors just tested positive for covid   	1
appreciates his fans for their work in extending relief to needy during coronavirus outbreak. urges them to take care of their families, wear mask, and follow social distancing	2
are they literally f****** kidding!?! shut down nations, demolish economies, lock people inside their homes, strip their sanity and freedom only now to state asymptomatic spread is extremely rare! but dont worry no one will protest over this! #scamdemic 	0
are you a nurse doctor or other health professional? here are some ways to cope with the stress during covid 19  	1
are you guys for real do you seriously find it amusingby keeping kcet exams during such a pandemic??  i dont understand the necessity right now, how is that going to be safe?? It cant be	0
are you out shopping today? you should wear a face covering if you can, to protect yourself and those around you from #coronavirus #stayalert 	1
as at 6th of june, 2020, the @ncdcgov reported 389 new cases of #covid19 in nigeria bringing the total number of reported cases to 12233. also, according to @ncdcgov , a total of 3826 recoveries and 342 deaths have been recorded, so far, in nigeria. #knowcovid19 #coronavirus 	1
as of july 15 there had been 120000 covid deaths. 31 of those deaths were kids aged 0  14 thats 03 percent of the total the flu killed, three times as many kids in that age range in the same time frame  	1
as of this week, more than 30,000 people have died from the coronavirus in brazil, including 1,262 on tuesday ‚äî which was the nation‚äôs highest oneday total. the country is nearing 800,000 cases, second only to the u.s. ¬† 	0
as the no of  covid 19 cases are rapidly increasing in the country some esteemed university which are so adamant to risk the lives of the students have allotted exam centers but who will take the responsibility of our safety at those center	0
as the rioters and looters took to the streets for two weeks the media said they were expressing their feelings. now that we are talking about trump rallies all of the sudden the media is talking about the surge of coronavirus . hypocrisy at its finest.	0
as the us heads into peak hurricane season a reduction in commercial airline flights due to covid 19 has significantly impacted our ability to accurately forecast the weather  	1
as theaters and clubs remain closed, 90% of independent venue owners, promoters and bookers say that they will have to close permanently within the next few months without assistance. ¬†	0
as we learn to live with coronavirus getting children back to school has to be our 1 priority by      	1
at a time when coronavirus cases are on the rise, @kimspbmh covid hospital the first and only of its kind public private partnership model based standalone facility has successfully treated over 1000 patients in #odisha ... read more: ¬† ‚ä¶ 	2
at least 45 hospitals in florida had no available beds in intensive care units as of sunday afternoon as the state has emerged as the new epicenter of the us  coronavirus  pandemic  	0
at midnight on wednesday the electricity grid won‚äôt have burnt any coal for 60 days. now we‚äôve glimpsed what‚äôs possible we must #buildbackbetter 	2
at the moment you are more likely to be stabbed to death than die of covid in london. where are the calls for mandatory stabvests?	1
attendees cannot sue the trump campaign or the venue if they contract the coronavirus at his june 19 rally in tulsa, oklahoma ¬†	1
autopsies show 80 of covid victims had blood clots in every single major organ. this will be north americas largest preexisting condition with tens of millions potentially affected	0
back of the envelope math preventing 62 million u.s. infections likely saved a quarter of a million lives and maybe far more by preventing health system collapse keep. wearing your mask!!	2
back of the envelope math: preventing 62 million us infections likely saved a quarter of a million lives‚äîand maybe far more, by preventing health system collapse. keep wearing your mask. 	2
bad news on the school opening front. a large study from south korea suggests that children over 10 are very effective spreaders of covid. so while preschool and very young kids may be less effective vectors, most school age kids 9 are good vectors  	0
bahamas closes borders to us tourists after covid 19 cases spike others still welcomed  	1
balochistan is the future of pakistan army will help its people to battle covid 19  	2
be gentle with yourself coronavirus and self quarantining effects everyone differently 	1
be safe we can beat coronavirus!	2
because of donald trumps negligence and incompetence more than 140000 people have died. we have over 35 million cases of covid 19, over 20 million americans are out of work, and yet hes patting himself on the back?? unbelievable	0
before she died from coronavirus  this young palestinian man used to climb on the hospitals external window to check up on his mother  	1
before, during, after... #coronavirus 	1
beyoncé was set to present the blackisking world tour a worldwide tour which went to europe, africa, asia, oceania, north and south america. the tour was cancelled due to covid 19  	1
beyoncé was set to tour europe north and south america, africa, oceania, and asia this summer. according to a number of sources it was cancelled due to covid 19  	1
beyond pcr a guide to the dozens of different coronavirus diagnostics in development  	1
biden rolls out plan to safely reopen schools amid the  coronavirus  pandemic  	1
biden says trump‚äôs handling of the coronavirus pandemic was almost criminal ¬†	0
big news the oxford covid 19 vaccine is safe and produces an immune response according to preliminary results just published. its probably the leading candidate in the world	2
boris johnsons 11 fatal errors in handling coronavirus crisis which cost lives 	0
both of these crises are symptoms of lack of respect for each other and for the natural world.  says the coronavirus and climate crisis have a similar root cause but should not be compared to each other  	0
brain research shows the arts promote mental health during self isolation due to coronavirus. many are turning to the arts	2
brain research shows the arts promote mental health during selfisolation due to coronavirus , many are turning to the arts via @conversationuk 	2
breaking darwin tests positive for coronavirus   	1
breaking good news alert new zealand has announced it no longer has any patients in hospital being treated for coronavirus. it comes on the fifth straight day where no new cases have been reported. this is what winning looks like	2
breaking good news alert: new zealand has announced it no longer has any patients in hospital being treated for coronavirus . it comes on the fifth straight day where no new cases have been reported. this is what winning looks like. 	2
breaking health officials on monday reported 102 cases of  covid 19 in bc over the past 72 hours  	1
breaking joe biden leads pres trump on trust to handle the coronavirus pandemic by a 20point margin. new poll finds the two had been virtually tied on the issue in late march 	1
breaking news as the white house usurps covid 19 data collection from the cdc evidence suggests gopled entities are hiding the real numbers which are harrowing  	0
breaking news tricky trump announces his possible dictatorship after losing election. then he will make tricky trump virus covid 19 disappear because he is always right. remember in november  	0
breaking news: dinkleberg tests negative for coronavirus 	2
breaking oxford university coronavirus vaccine safe and induces immune reaction early results show   	2
breaking the ballon dor will not be awarded in 2020 due to the disruption caused by the  coronavirus     	1
breaking the blue jays have been denied approval by the canadian government to play in toronto amid the coronavirus pandemic. an official familiar with the matter told the associated press of the denial  	1
breaking: dr. fauci just said no one should be holding large events, when talking about trump holding rallies, because it‚äôs going to spread coronavirus . it‚äôs nice to hear basic logic, for once.	2
breaking: no new coronavirus deaths have been reported in scotland for the second day in a row. 	2
breaking: there are now over 113,000 american deaths from coronavirus and over 2 million cases. trump is the biggest failure and fraud ever. this is on him.	0
briones says there are only 16 recorded deaths of children from  covid 19  	1
britain has seen so many die during the  covid  pandemic  will have a european deal that will kick a bleeding country when its down because johnson forced competent principled men and women out of the conservative party or left them on the backbenches   	0
by now, we ought to be seeing some evidence of increasing #covid19 cases from the mass protests. that we are not and not even an increase in testing demand raises very serious doubts about the #coronavirus lockdowns and other npis many of which are still ongoing. thread 	0
bye bye buffets, hello plexiglass: how coronavirus is changing hotels 	1
calling all sheep please see how dangerous covid is. wake the fuck up dan cock sucker andrews is full of shit  	0
calling coronavirus a distinctly ‚äúnew york issue‚äù would be a mistake. as the epicenter of the pandemic embarks on its reopening, keep in mind that what‚äôs good for getting new york healthy and bustling again is good for the rest of the country as well ¬†	1
can any government give guarantee for the lives of students if anyone tested positive for covid 19 after writing exams 	1
cant stop thinking about how stark the contrast is between the urgency of the governments response to statues being vandalized vs 140000 covid 19 deaths	0
cdc acknowledges mixing up coronavirus testing data. another mistake designed to make covid outbreak appear worse than it is. folks what do we have to do to convince you???  they are gaslighting us to achieve political power    	0
cdc says the coronavirus pandemic could be under control in four to eight weeks if everyone wore a mask starting now. lets do this people!	2
ceo of the rwanda development board said the country has a formula for dealing with the coronavirus  including almost 2000 contact tracers and thousands of tests every day. still she said fighting the pandemic is a work in progress  	1
chicago mayor unveils $5 million coronavirus relief fund for undocumented immigrants, college students ¬† 	1
china: parts of beijing locked down due to fresh coronavirus cluster.	1
christian happi is working in nigeria to develop covid19 tests. ‚äúpeople might have thought that this work was impossible in africa, but we are demonstrating that the continent‚äôs scientists can generate crucial data in the global fight against covid19.‚äù ¬†	2
christian happi is working in nigeria to develop covid19 tests. people might have thought that this work was impossible in africa but we are demonstrating that the continents scientists can generate crucial data in the global fight against covid19	2
confirmed lois tests positive for coronavirus   	1
connecticut coronavirus testing flaw causing false positives  	0
coric is back for his first match since his covid diagnosis. hes is playing in belgrade at the eastern european championship  	1
corona virus @new order of deputy commissioner sanghar 	1
corona virus has become less dangerous, the corona vaccine will come soon 	2
coronavirus  will end soon in jesus name. rt if you believe	2
coronavirus : beijing shuts food market and goes into in wartime emergency mode after spike in covid19 cases 	0
coronavirus : brazil judge orders bolsonaro to publish full data ¬†	1
coronavirus : oxford scientists working on covid19 vaccine near breakthrough on antibody treatment 	2
coronavirus : where is the science behind social distancing? dr vernon coleman mb chb dsc frsa 	1
coronavirus also introduces us to a completely new world of life, it is better to be safe than sorry.................. 	1
coronavirus doesn‚äôt give a shit what you‚äôre protesting 	0
coronavirus facts, tips, medical facts   	1
coronavirus is murdering american citizens donald trumps solution please do not sue me if you catch the coronavirus at my rally are you fucking* kidding me 110 still counting dead from the coronavirus trump dont give a fuk about no one except himself and his reelection 	0
coronavirus live news: new zealand covid19 free as global cases pass 7 million 	1
coronavirus may not discriminate. but our system does. 	0
coronavirus news a young woman whose lungs were ravaged by covid19 is alive thanks to a double lung transplant say her surgeons. in chicago, this is the first known lung transplant in the us for covid19. offering new hope for patients heres the story	2
coronavirus news: a young woman whose lungs were ravaged by covid19 is alive thanks to a double lung transplant, say her surgeons in chicago. this is the first known lung transplant in the us for covid19, offering new hope for patients. heres the story: ¬†	2
coronavirus out of control in az and doug ducey is still in charge ... 	0
coronavirus oxford scientists working on covid19 vaccine near breakthrough on antibody treatment  	2
coronavirus patients without symptoms aren‚äôt driving the spread of the virus, the who says. ¬†	1
coronavirus protein treatment trial a breakthrough  	2
coronavirus r all you need to know 	1
coronavirus right now looking at naira marley and his fans in abuja.. 	1
coronavirus staying safe and informed on twitter. helping people find reliable information 	2
coronavirus vaccine developed by oxford university appears safe and trains the immune system, key early trials show  	2
coronavirus will end soon. in jesus name. rt, if you believe.	2
couple under house arrest after testing positive for covid 19  	1
couple under house arrest after testing positive for covid 19 in kentucky   	1
covid  is the catchall for the lefts 2020 fears. biden cant campaign or debate cause covid. in person voting nope covid. supreme court opening no confirmation hearings this year covid. trump rally forget about it covid. booming economy oops covid 	0
covid  or no covid, please just stay away from me	1
covid 19 has polished pakistan to reach to its full potential. pakistan has started making ventilators and this is a huge achievement considering that pakistan has never made ventilators before       	2
covid 19 is real  	1
covid 19 is real but deliberately inflating the numbers is a scam	0
covid 19 shock as niger assembly discovers food other items meant for palliative stacked in secret warehouses in niger   	1
covid has a lower death rate than the flu yet we dont mandate masks for the flu  so why are we doing it for covid?? oh right democrat fearmongering	0
covid has been rough  	0
covid hospitalizations continue to rise nationally will soon eclipse prior record reached in april. however, admissions to icus have declined as percent of total hospital admissions reflecting earlier diagnosis at time of admission, better treatments, less vulnerable admissions  	1
covid medical kit required at home. share to your friends and family    	1
covid test at 5pm  	1
covid testing is decreased or delayed in black hispanic populations . test is required for pharmacotherapies in some cases. early identification is necessary for eligibility. test is often needed for enrollment in covid research studies. see the problem?? inequality at its finest	0
covid19 has taken away everything we had our freedom, our peace of mind and even our lives. now, the time has come to take revenge on the coronavirus by digesting it, literally. #coronafreebharatwithpatanjali 	0
cubans celebrate no local transmission of covid 19 for first time in four months  	0
cuomo threatens to shut down manhattan, hamptons again if coronavirus socialdistancing rules brokenthis genius must have been in a coma the past two weeks. did he miss a million people screaming and spitting two feet from each other for days?! moron 	0
daily number of covid cases took a jump of 10k within a period of 4 days only. dont understand how ugc is still going to conduct sem exams at this moment of emergency. terrible decision	0
deeprooted inequality and graft have thwarted the steps peru took to prepare for its response to the coronavirus pandemic.	0
dem 2 brothers and a grill in charleston is one of 25 barbecue places in the country to receive $10,000 from kingsford charcoal. 	2
despite the ongoing coronavirus  pandemic fans have expressed an overwhelming desire for the return of live sports in the latest round of an espn study  	1
devastating new homelessness numbers in los angeles. the homeless population in the county increased 13% to 66,433 ‚äî¬†equivalent to a city the size of redondo beach. these figures dont take into account the effects of the coronavirus pandemic 	0
disgusting garbage from the media headlines say a 13yearold died after experiencing covid symptoms. you have to read paragraphs into the reports to find out that he tested negative. exploiting a childs death and intentionally misleading the public about it. evil bastards  	0
djokovic asks the crowd to stand up to remember the victims of the coronavirus . 	1
doctors and nurses who helped new york with the  coronavirus surge are warning their home states. please wear your mask 	1
doctors in chicago have performed a double lung transplant on a young woman whose lungs were damaged by covid19. ¬†	1
donald trump getting ready for his daily coronavirus  briefings  	1
donors tonight at $3million fundraiser with pres trump at his nj golf club underwent coronavirus tests to get in. they had to test negative for covid19, fill out a wellness questionnaire and pass a temperature screening. costs for the tests paid by the trump campaign and rnc.	1
dont let coronavirus distract you that derrick henry has more passing tds in the playoffs than carson wentz  	1
dr birxs rise inside the trump admin has tainted her reputation among colleagues who view her as having sold out to a chaotic poorly managed response that has put trumps political ambition over the health of americans.  her reputation is finished   	0
dr fauci will throw out the ceremonial first pitch at thursdays  home opener. the team statement calls him a nats superfan and a true champion for our country during the covid 19 pandemic and throughout his distinguished career  	2
dr samadi thank you very much for your informative and very accurate analysis of the covid  19 medical issues. as a colleague physician and fellow scientist i can confirm that your evidenced based recommendations are spot on. keep up the great work	2
dr. fauci delivered a grim assessment of #coronavirus calling #covid19 his ‚äúworst nightmare‚äù‚äîhighly contagious respiratory infection causing serious illness & death. ‚äúin a period of 4 months, it has devastated the whole world. and it isn‚äôt over yet.‚äù 	0
due to timely and welldevised strategy of the government the number of  coronavirus  cases have come down  	2
dutch protesters demand end to fur farming after coronavirus outbreak ¬†	1
each of us can stop the spread the spread of coronavirus . it‚äôs up to us, new york. 	2
early results from a new study on mental health among journalists covering the pandemic were so worrisome that the reuters institute for the study of journalism decided to publish the preliminary data 	0
eightyfive infants who are under the age of 1 have tested positive for the  coronavirus  in nueces county, according to a report. the county which includes corpus christi has become emblematic of the recent surge of  coronavirus  cases in the state  	0
encouraging paper in the lancet on the university of oxfords covid vaccines trial. long way to go yet but this is an important development and good result	2
even stephen king couldnt make up a story this horrifying. trump and coronavirus what a scary and deadly combination  	0
everyday the  covid  patients are increasing and tomorrow 40000 cases have came in. what a fearful mental state we are along with failed software to conduct exam is also increasing day by day mental illnesses but who cares for students 	0
everyone knows that dominic cummings broke the lockdown laws he helped create. what does it say about our government that he was kept in post while this nurse was dropped from briefings for telling the truth?  	0
everything will be okay. a man who has tested positive for covid 19 shared on facebook the good deeds of his neighbor contributed photos  	2
exactly 10 days ago i went to do the covid test in london. earlier today i went for another test in abuja  	1
face masks could reduce coronavirus number and prevent 2nd wave, scientists say. this is very hopeful news 	2
face masks could reduce coronavirus r number and prevent 2nd wave, scientists say. 	2
facemask covid 19 this is brilliant advice 	2
fauci is a lying cherrypicking excuse artist. he knows the truth about ny, cuomo forced covid patients into nursing homes killing thousands. ny is safer now inspite of cuomo because it has developed heard immunity which is what i have been arguing for all along 	0
firms with troubled pasts got millions of dollars in ppp smallbusiness aid. the paycheck protection program benefited an alleged ponzi scheme and companies accused of defrauding student borrowers and selling fake  coronavirus treatments  	0
first human trial of oxford coronavirus vaccine shows promise	2
first the wildfire, then ww3 almost started, third the corona virus . now this racism and killing with black people. whats next 2020?	0
florida based grocery chain wont require masks citing we dont want to cause undue friction. florida is one of the hardest hit states in the u.s. coronavirus outbreak recently surpassing 338000 cases winndixie 	1
florida man who died in motorcycle crash listed among  covid 19 fatalities  	1
floridas gov. ron desantis shrugs off bad coronavirus news as cases rocket 35% in a single day. ¬†	0
folks just to let you know i have tested positive for covid 19. im doing good, no symptoms and my family is fine. all my close contacts have been informed. right now im in self isolation many thanks to royal media services management for its support. stay safe god bless  	2
for the first time since coronavirus outbreak number of recovered patients exceeded the number of active cases. we are on the right track	2
for the first time since coronavirus outbreak, number of recovered patients exceeded the number of active cases. 	2
former pandemic officials call trumps covid response a national disaster vanity fair  	0
former vice president biden leads president trump by a significant 12point margin nationally according to a new cnn poll of polls 	1
free #coronavirus testing today 10am‚äî2pm f street nw btwn 4th & 5th 2241 martin luther king jr ave se... this site has had the shortest line 4pm‚äî8pm engine 4 2531 sherman ave nw engine 12 2225 5th street ne need a test? get a test ¬† #covid19	1
friends im successfully recovered from covid  	2
from chile to south africa to new zealand, southern hemisphere nations report far lower numbers of flu cases which they attribute to coronavirus precautions. the decline could be good news for the u.s. and europe	2
from to #ethiopia aircraft of 33 tons of medical aids to help stop the spread of #coronavirus 	2
fuck covid     	0
full recovery expected for #covid 19 lung transplant patient 	2
george floyd death: protests undoubtedly risk increasing coronavirus cases, matt hancock says more demos thousands more dead end of racism fucking idiots wake up plebs of britain	0
get well soon lala #shahidafridi #coronavirus 	2
get well soon lala we wish you a speedy recovery	2
gettin a covid test today hope it goes well ehe  	2
getting tested today for coronavirus  because of mild symptoms. its super efficient and easy so far	2
getting tested today for coronavirus because of mild symptoms. its super efficient and easy so far! 	2
getting vaccines for covid tested is essential. people across the uk can register their interest to be approached to join vaccine studies. please consider volunteering the generosity of the public in taking part is essential to identify effective vaccines  	1
giving exams during covid going on a suicide mission. exams in covid a suicide 	0
glad to hear the good news thank you everyone that was concerned about my son having coronavirus. after sending him to a private doctor we have found that he has tested negative	2
god can covid end already i cant stand this toxic household anymore 	0
good chance deaths will increase further but it does seem likely that the death rate from covid is decreasing which is good news even if the number of deaths is increasing because we have so many freakin cases  	1
good for her, good for us, good for the truth. i hope the media covers this its a great story. fired florida scientist builds coronavirus site showing far more cases than state reports 	2
good for her. good for us. good for the truth! i hope the media covers this. its a great story. fired florida scientist builds coronavirus site showing far more cases than state reports 	2
good job fauci. what a disaster. now off to throwing out the first pitch	1
good morning so theres a coronavirus outbreak at a contact tracing call centre if youre wondering how the uks worldbeating coronavirus response is going. rip to us all	0
good morning titans  i will be presenting about  the global impact of covid 19 today at 12pm. make sure you are following   to see the presentation  please come through for your girl  	1
good morning to the covid vaccine only	1
good morning twitter friends! i became infected with coronavirus in july. i have officially recovered and am back on twitter thank you for your support and prayers 	2
good news for our friends, neighbours, and closest economic partners in the eu, the 182 trillion budget which includes a 750 billion  coronavirus  recovery package is a huge display of solidarity at this time of historic crisis   	2
good news that further #coronavirus human vaccine trials begin next week. an encouraging step forward in our national effort. 	2
good news who says asymptomatic spread of covid is rare. i agree and it makes sense each cough may emit 3000 and sneeze 40000 droplets from a symptomatic patient	2
good news! @who says asymptomatic spread of covid is rare. i agree and it makes sense each cough may emit ~3000 and sneeze ~40,000 droplets from a symptomatic patie cnbc.com20200608asy mptomaticcoronaviruspatientsarentspreadingnewinfectionswhosays.html ¬† ‚ä¶	2
